	Draft_Yr	Pk	Team	Player	College	Yrs	Games	Minutes Played	PTS	TRB	AST	FG_Percentage	3P_Percentage	FT_Percentage	Minutes per Game	Points per Game	TRB per game	Assits per Game	Win Share	WS_per_game	BPM	VORP	Average Win Share at Pick	Draft Score (Win Share - Average Win Share at Pick)
0	1979	1	LAL	Magic Johnson		13	906	33245	17707	6559	10141	0.52	0.303	0.848	36.7	19.5	7.2	11.2	155.8	0.225	7.2	77.4	70.7974358974359	85.00256410256411
1	1979	2	CHI	Dave Greenwood		12	823	23370	8428	6537	1614	0.477	0.138	0.765	28.4	10.2	7.9	2.0	46.4	0.095	0.2	13.1	47.702564102564104	-1.302564102564105
2	1979	3	NYK	Bill Cartwright		15	963	27491	12713	6106	1390	0.525	0.0	0.771	28.5	13.2	6.3	1.4	72.8	0.127	-0.5	10.7	57.4051282051282	15.394871794871797
3	1979	4	DET	Greg Kelser		6	305	6032	2961	1402	411	0.486	0.167	0.686	19.8	9.7	4.6	1.3	8.6	0.069	-0.8	1.9	46.5871794871795	-37.987179487179496
4	1979	5	MIL	Sidney Moncrief		11	767	23150	11931	3575	2793	0.502	0.284	0.831	30.2	15.6	4.7	3.6	90.3	0.187	3.8	33.9	49.776923076923076	40.52307692307692
5	1979	6	OKC	James Bailey		9	595	11625	5246	2988	488	0.484	0.077	0.703	19.5	8.8	5.0	0.8	16.3	0.067	-2.3	-0.8	22.171794871794877	-5.871794871794876
6	1979	7	OKC	Vinnie Johnson		13	984	24308	11825	3109	3212	0.464	0.254	0.74	24.7	12.0	3.2	3.3	50.8	0.1	0.5	15.2	34.13589743589743	16.66410256410257
7	1979	8	BRK	Calvin Natt		11	599	18818	10291	4070	1306	0.528	0.219	0.768	31.4	17.2	6.8	2.2	57.2	0.146	1.2	15.1	28.56666666666666	28.633333333333344
8	1979	9	NYK	Larry Demic		3	206	3192	976	805	106	0.459	0.0	0.58	15.5	4.7	3.9	0.5	1.4	0.022	-4.6	-2.1	42.99487179487179	-41.59487179487179
9	1979	10	DET	Roy Hamilton		2	73	1121	336	110	192	0.4	0.0	0.684	15.4	4.6	1.5	2.6	-0.4	-0.017	-5.8	-1.1	33.60769230769232	-34.00769230769232
10	1979	11	BRK	Cliff Robinson		11	629	19284	10823	5237	1249	0.468	0.184	0.722	30.7	17.2	8.3	2.0	30.5	0.076	-1.1	4.3	30.956410256410255	-0.4564102564102548
11	1979	12	POR	Jim Paxson		11	784	21357	11199	1593	2300	0.498	0.225	0.807	27.2	14.3	2.0	2.9	53.7	0.121	-0.3	9.0	20.45384615384615	33.24615384615385
12	1979	13	IND	Dudley Bradley		9	600	10192	3131	1098	1147	0.44	0.293	0.73	17.0	5.2	1.8	1.9	16.5	0.078	0.6	6.7	31.646153846153855	-15.146153846153855
13	1979	14	LAL	Brad Holland		3	93	686	293	59	63	0.403	0.19	0.746	7.4	3.2	0.6	0.7	0.4	0.026	-5.0	-0.5	22.646153846153844	-22.246153846153845
14	1979	15	DET	Phil Hubbard		10	665	15863	7228	3538	857	0.495	0.038	0.706	23.9	10.9	5.3	1.3	29.0	0.088	-0.7	5.3	19.446153846153845	9.553846153846155
15	1979	16	PHI	Jim Spanarkel		5	259	5290	2505	652	572	0.47	0.25	0.855	20.4	9.7	2.5	2.2	12.3	0.112	0.5	3.3	19.743589743589748	-7.443589743589747
16	1979	17	HOU	Lee Johnson		1	12	90	17	22	1	0.28	0.0	0.6	7.5	1.4	1.8	0.1	-0.2	-0.095	-11.4	-0.2	16.54615384615385	-16.74615384615385
17	1979	18	SAC	Reggie King		6	438	11345	3898	2707	691	0.514	0.0	0.699	25.9	8.9	6.2	1.6	24.8	0.105	0.5	7.0	23.635897435897427	1.1641025641025742
18	1979	19	SAS	Wiley Peck		1	52	628	180	183	33	0.432	0.0	0.618	12.1	3.5	3.5	0.6	0.3	0.023	-3.5	-0.2	15.235897435897433	-14.935897435897433
