,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,Draft_Yr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
1,1989 Draft Day Trades  Trades between teams sent and received  Chicago From Orlando:  Olden Polynice  2nd Round Draft Pick (1990) 2nd Round Draft Pick (1992)  Orlando From Chicago:  Dave Corzine Seattle From Chicago:  2nd Round Draft Pick (1993) Chicago From Seattle:  Agreed to not select B.J. Armstrong with the 16th or 17th pick in the 1989 NBA Draft. Charlotte From Indiana:  Stuart Gray Indiana From Charlotte:  Dyron Nix Phoenix From Detroit:  Micheal Williams  Kenny Battle Detroit From Phoenix:  Anthony Cook,1989 Draft Day Trades  Trades between teams sent and received  Chicago From Orlando:  Olden Polynice  2nd Round Draft Pick (1990) 2nd Round Draft Pick (1992)  Orlando From Chicago:  Dave Corzine Seattle From Chicago:  2nd Round Draft Pick (1993) Chicago From Seattle:  Agreed to not select B.J. Armstrong with the 16th or 17th pick in the 1989 NBA Draft. Charlotte From Indiana:  Stuart Gray Indiana From Charlotte:  Dyron Nix Phoenix From Detroit:  Micheal Williams  Kenny Battle Detroit From Phoenix:  Anthony Cook,1989 Draft Day Trades,Trades between teams sent and received,Chicago,From Orlando:  Olden Polynice  2nd Round Draft Pick (1990) 2nd Round Draft Pick (1992),Orlando,From Chicago:  Dave Corzine,Seattle,From Chicago:  2nd Round Draft Pick (1993),Chicago,From Seattle:  Agreed to not select B.J. Armstrong with the 16th or 17th pick in the 1989 NBA Draft.,Charlotte,From Indiana:  Stuart Gray,Indiana,From Charlotte:  Dyron Nix,Phoenix,From Detroit:  Micheal Williams  Kenny Battle,Detroit,From Phoenix:  Anthony Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
2,1989 Draft Day Trades  Trades between teams sent and received  Chicago From Orlando:  Olden Polynice  2nd Round Draft Pick (1990) 2nd Round Draft Pick (1992)  Orlando From Chicago:  Dave Corzine Seattle From Chicago:  2nd Round Draft Pick (1993) Chicago From Seattle:  Agreed to not select B.J. Armstrong with the 16th or 17th pick in the 1989 NBA Draft. Charlotte From Indiana:  Stuart Gray Indiana From Charlotte:  Dyron Nix Phoenix From Detroit:  Micheal Williams  Kenny Battle Detroit From Phoenix:  Anthony Cook,1989 Draft Day Trades,Trades between teams sent and received,Chicago,From Orlando:  Olden Polynice  2nd Round Draft Pick (1990) 2nd Round Draft Pick (1992),Orlando,From Chicago:  Dave Corzine,Seattle,From Chicago:  2nd Round Draft Pick (1993),Chicago,From Seattle:  Agreed to not select B.J. Armstrong with the 16th or 17th pick in the 1989 NBA Draft.,Charlotte,From Indiana:  Stuart Gray,Indiana,From Charlotte:  Dyron Nix,Phoenix,From Detroit:  Micheal Williams  Kenny Battle,Detroit,From Phoenix:  Anthony Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
4,1989 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
5,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
6,Chicago,From Orlando:  Olden Polynice  2nd Round Draft Pick (1990) 2nd Round Draft Pick (1992),Orlando,From Chicago:  Dave Corzine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
7,Seattle,From Chicago:  2nd Round Draft Pick (1993),Chicago,From Seattle:  Agreed to not select B.J. Armstrong with the 16th or 17th pick in the 1989 NBA Draft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
8,Charlotte,From Indiana:  Stuart Gray,Indiana,From Charlotte:  Dyron Nix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
9,Phoenix,From Detroit:  Micheal Williams  Kenny Battle,Detroit,From Phoenix:  Anthony Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
11,1990 Draft Day Trades  Trades between teams sent and received  Houston From Miami:  Dave Jamerson  Carl Herrera Miami From Houston:  Alec Kessler Sacramento From Miami:  Rory Sparrow Miami From Sacramento:  Bimbo Coles New Jersey From Seattle:  Jud Buechler Seattle From New Jersey:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft. Seattle From Orlando:  Two 2nd Round Draft Picks  (1993 & 1995) Orlando From Seattle:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.,1990 Draft Day Trades  Trades between teams sent and received  Houston From Miami:  Dave Jamerson  Carl Herrera Miami From Houston:  Alec Kessler Sacramento From Miami:  Rory Sparrow Miami From Sacramento:  Bimbo Coles New Jersey From Seattle:  Jud Buechler Seattle From New Jersey:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft. Seattle From Orlando:  Two 2nd Round Draft Picks  (1993 & 1995) Orlando From Seattle:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.,1990 Draft Day Trades,Trades between teams sent and received,Houston,From Miami:  Dave Jamerson  Carl Herrera,Miami,From Houston:  Alec Kessler,Sacramento,From Miami:  Rory Sparrow,Miami,From Sacramento:  Bimbo Coles,New Jersey,From Seattle:  Jud Buechler,Seattle,From New Jersey:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.,Seattle,From Orlando:  Two 2nd Round Draft Picks  (1993 & 1995),Orlando,From Seattle:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
12,1990 Draft Day Trades  Trades between teams sent and received  Houston From Miami:  Dave Jamerson  Carl Herrera Miami From Houston:  Alec Kessler Sacramento From Miami:  Rory Sparrow Miami From Sacramento:  Bimbo Coles New Jersey From Seattle:  Jud Buechler Seattle From New Jersey:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft. Seattle From Orlando:  Two 2nd Round Draft Picks  (1993 & 1995) Orlando From Seattle:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.,1990 Draft Day Trades,Trades between teams sent and received,Houston,From Miami:  Dave Jamerson  Carl Herrera,Miami,From Houston:  Alec Kessler,Sacramento,From Miami:  Rory Sparrow,Miami,From Sacramento:  Bimbo Coles,New Jersey,From Seattle:  Jud Buechler,Seattle,From New Jersey:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.,Seattle,From Orlando:  Two 2nd Round Draft Picks  (1993 & 1995),Orlando,From Seattle:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
14,1990 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
15,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
16,Houston,From Miami:  Dave Jamerson  Carl Herrera,Miami,From Houston:  Alec Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
17,Sacramento,From Miami:  Rory Sparrow,Miami,From Sacramento:  Bimbo Coles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
18,New Jersey,From Seattle:  Jud Buechler,Seattle,From New Jersey:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
