Date,"Roger Federer","Rafael Nadal","Novak Djokovic","Andy Murray"
2015-07-01,22065,14036,18019,15932
2015-07-02,64163,115440,26477,39840
2015-07-03,46326,53919,33152,25381
2015-07-04,83447,30107,27943,66359
2015-07-05,22853,13265,11233,13563
2015-07-06,62423,25958,57535,75151
2015-07-07,41926,20130,39804,32367
2015-07-08,83124,30558,51351,69384
2015-07-09,47975,20077,26437,38520
2015-07-10,229482,55363,103922,124756
2015-07-11,132299,41044,59755,51114
2015-07-12,613664,159030,630797,92331
2015-07-13,109945,48205,141558,20248
2015-07-14,32889,16307,45515,7500
2015-07-15,17818,9378,22287,4527
2015-07-16,13093,7307,15917,4074
2015-07-17,10440,6055,11964,4086
2015-07-18,9412,5312,10501,11819
2015-07-19,9366,5377,9821,11151
2015-07-20,9431,5059,9059,4379
2015-07-21,7753,4216,6087,2576
2015-07-22,7109,3658,5208,2156
2015-07-23,5770,3371,4800,1894
2015-07-24,5653,3366,5808,1887
2015-07-25,5282,3298,4317,1707
2015-07-26,5255,3280,4584,1827
2015-07-27,5000,3637,4872,1513
2015-07-28,5089,4490,4424,1585
2015-07-29,4723,3529,3797,1421
2015-07-30,4811,3890,3665,1476
2015-07-31,4235,3810,3290,1437
2015-08-01,4275,4141,3321,1423
2015-08-02,5263,7824,4019,1742
2015-08-03,4287,4895,3541,1378
2015-08-04,4287,3297,3319,1610
2015-08-05,4025,2797,2935,1474
2015-08-06,3635,2626,2819,2789
2015-08-07,4211,2713,2839,5178
2015-08-08,9439,2860,3238,2102
2015-08-09,4571,2933,3297,1688
2015-08-10,4019,2790,3421,1659
2015-08-11,4116,2866,3898,1787
2015-08-12,4093,3576,4003,2291
2015-08-13,5333,4550,4940,2963
2015-08-14,5003,4350,4765,2609
2015-08-15,5787,6829,8847,3475
2015-08-16,7462,5235,12845,14682
2015-08-17,6561,4677,8272,11136
2015-08-18,5244,3573,4392,3867
2015-08-19,5786,3343,4674,3379
2015-08-20,5243,4540,5832,3755
2015-08-21,8847,6730,6709,6176
2015-08-22,14634,5062,9566,6457
2015-08-23,36075,7827,15274,4513
2015-08-24,25550,7096,9936,3280
2015-08-25,10401,5544,5583,2307
2015-08-26,7482,6434,4785,2025
2015-08-27,6792,4767,4447,1967
2015-08-28,6795,5107,5250,1892
2015-08-29,5850,4144,3684,1756
2015-08-30,6253,4187,4559,2187
2015-08-31,10830,7857,8843,16368
2015-09-01,15929,24147,9323,12217
2015-09-02,14745,14291,9042,16900
2015-09-03,16750,11559,16217,12569
2015-09-04,21619,9438,13313,7990
2015-09-05,38544,57795,18481,8695
