	0	1	2	3	Draft_Yr
0	Chicago	From Orlando:  Olden Polynice  2nd Round Draft Pick (1990) 2nd Round Draft Pick (1992)	Orlando	From Chicago:  Dave Corzine	1989
1	Seattle	From Chicago:  2nd Round Draft Pick (1993)	Chicago	From Seattle:  Agreed to not select B.J. Armstrong with the 16th or 17th pick in the 1989 NBA Draft.	1989
2	Charlotte	From Indiana:  Stuart Gray	Indiana	From Charlotte:  Dyron Nix	1989
3	Phoenix	From Detroit:  Micheal Williams  Kenny Battle	Detroit	From Phoenix:  Anthony Cook	1989
4	Houston	From Miami:  Dave Jamerson  Carl Herrera	Miami	From Houston:  Alec Kessler	1990
5	Sacramento	From Miami:  Rory Sparrow	Miami	From Sacramento:  Bimbo Coles	1990
6	New Jersey	From Seattle:  Jud Buechler	Seattle	From New Jersey:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.	1990
7	Seattle	From Orlando:  Two 2nd Round Draft Picks  (1993 & 1995)	Orlando	From Seattle:  Agreed to not select  Dennis Scott  in the 1990 NBA Draft.	1990
8	Portland	From Golden State:  Lamont Strothers	Golden State	From Portland:  Two 2nd Round Draft Picks  (1995 & 1999)	1991
9	Atlanta	From LA Clippers:  1st Round 9th Pick of 1991 Draft  Two 2nd Round Draft Picks  (1993 & 1994)	LA Clippers	From Atlanta:  Doc Rivers	1991
10	Houston	From Cleveland:  2nd Round Draft Pick (1996)  Future Considerations	Cleveland	From Houston:  Keith Hughes	1991
11	LA Clippers	From Denver:  2nd Round Draft Pick  (1996 or 1997)	Denver	From LA Clippers:  Winston Garland	1991
12	Detroit	From LA Clippers:  Olden Polynice  2nd Round Draft Pick (1996)  2nd Round Draft Pick (1997)	LA Clippers	From Detroit:  Don MacLean  William Bedford	1992
13	New York	From Dallas:  Rolando Blackman	Dallas	From New York:  Future 1st Round Pick (1995)	1992
14	Milwaukee	From Utah:  Theodore Edwards  Eric Murdock  1st Round 23rd Pick of 1992 Draft	Utah	From Milwaukee:  Jay Humphries  Larry Krystkowiak	1992
15	Golden State	From Orlando:  Chris Webber	Orlando	From Golden State:  Anfernee Hardaway  Three 1st Round Draft Picks (TBD)	1993
16	Dallas	From Houston:  Popeye Jones	Houston	From Dallas:  Eric Riley	1993
17	Golden State	From Denver:  Josh Grant  Future 2nd Pick (1994)	Denver	From Golden State:  Darnell Mee	1993
18	New Jersey	From Washington:  2nd Round 36th Pick of 1993 Draft	Washington	From New Jersey:  Cash Considerations	1993
19	Utah	From Minnesota:  Felton Spencer	Minnesota	From Utah:  Mike Brown	1993
20	Boston	From Milwaukee:  Derek Strong  Theodore Edwards	Milwaukee	From Boston:  Andrei Fetisov  Ed Pinckney	1994
21	LA Clippers	From Denver:  Brent Barry  Rodney Rogers	Denver	From LA Clippers:  Antonio McDyess  Randy Woods	1995
